IP,Country,class
14.0.153.70,HK,normal
14.0.157.240,HK,normal
14.0.157.53,HK,normal
14.0.159.166,HK,anomaly
14.0.174.201,HK,normal
14.0.180.37,HK,normal
14.0.225.229,HK,normal
14.100.132.199,SG,anomaly
14.100.136.174,SG,anomaly
14.100.136.176,SG,normal
14.100.136.43,SG,anomaly
14.100.139.65,SG,normal
14.1.193.228,MY,normal
14.102.109.226,IN,anomaly
14.102.40.162,IN,normal
14.102.40.254,IN,normal
14.102.60.68,IN,anomaly
14.120.195.249,CN,normal
14.133.92.237,JP,anomaly
14.136.98.174,HK,normal
14.137.74.9,AU,anomaly
14.139.187.225,IN,normal
14.139.207.130,IN,anomaly
14.139.217.138,IN,normal
14.139.228.230,IN,normal
14.139.236.226,IN,normal
14.139.251.107,IN,anomaly
14.139.60.52,IN,normal
14.139.60.97,IN,anomaly
14.140.121.186,IN,normal
14.140.162.178,IN,anomaly
14.140.167.94,IN,anomaly
14.140.50.82,IN,normal
14.141.196.18,IN,anomaly
14.141.196.18,IN,normal
14.141.253.50,IN,anomaly
14.141.67.90,IN,anomaly
14.141.89.18,IN,anomaly
14.141.89.18,IN,normal
14.141.91.65,IN,anomaly
14.148.202.178,CN,anomaly
14.152.68.114,CN,normal
14.152.68.39,CN,anomaly
14.152.69.16,CN,anomaly
14.152.69.55,CN,anomaly
14.160.24.42,VN,normal
14.160.89.82,VN,normal
14.161.14.123,VN,anomaly
14.161.15.207,VN,anomaly
14.161.15.207,VN,normal
14.161.45.119,VN,normal
14.161.45.155,VN,normal
14.161.45.155,VN,normal
14.161.45.155,VN,normal
14.161.45.155,VN,anomaly
14.161.9.205,VN,anomaly
14.161.9.205,VN,normal
14.164.12.33,VN,anomaly
14.165.62.93,VN,anomaly
14.167.92.94,VN,anomaly
14.169.162.35,VN,anomaly
14.169.213.96,VN,anomaly
14.169.223.241,VN,anomaly
14.170.26.135,VN,normal
14.172.50.243,VN,normal
14.174.124.147,VN,anomaly
14.174.133.146,VN,anomaly
14.174.136.154,VN,anomaly
14.174.56.212,VN,anomaly
14.174.88.244,VN,normal
14.176.246.19,VN,normal
14.177.201.27,VN,anomaly
14.177.41.136,VN,normal
14.183.30.84,VN,normal
14.185.12.101,VN,normal
14.185.15.30,VN,anomaly
14.185.216.71,VN,normal
